theme,f1,precision,recall,tp,fp,fn,tn,occurrences
French_Defense_Tarrasch_Variation,0.021220159151193636,0.010810810810810811,0.5714285714285714,4.0,366.0,3.0,9627.0,7.0
Bird_Opening_Dutch_Variation,0.02099737532808399,0.010723860589812333,0.5,4.0,369.0,4.0,9623.0,8.0
Queens_Pawn_Game_Zukertort_Variation,0.020242914979757085,0.010351966873706004,0.45454545454545453,5.0,478.0,6.0,9511.0,11.0
Queens_Pawn_Game_Chigorin_Variation,0.019955654101995568,0.010146561443066516,0.6,9.0,878.0,6.0,9107.0,15.0
Ruy_Lopez_Steinitz_Defense,0.019047619047619046,0.00966183574879227,0.6666666666666666,8.0,820.0,4.0,9168.0,12.0
Sicilian_Defense_Open,0.019047619047619046,0.010638297872340425,0.09090909090909091,1.0,93.0,10.0,9896.0,11.0
Vant_Kruijs_Opening,0.018867924528301886,0.010416666666666666,0.1,1.0,95.0,9.0,9895.0,10.0
Englund_Gambit_Complex,0.018018018018018018,0.01,0.09090909090909091,1.0,99.0,10.0,9890.0,11.0
Russian_Game_Other_variations,0.017699115044247787,0.009259259259259259,0.2,1.0,107.0,4.0,9888.0,5.0
Sicilian_Defense_Grand_Prix_Attack,0.017699115044247787,0.009259259259259259,0.2,1.0,107.0,4.0,9888.0,5.0
Englund_Gambit_Other_variations,0.01754385964912281,0.009615384615384616,0.1,1.0,103.0,9.0,9887.0,10.0
French_Defense_La_Bourdonnais_Variation,0.017094017094017092,0.008928571428571428,0.2,1.0,111.0,4.0,9884.0,5.0
Sicilian_Defense_Hyperaccelerated_Dragon,0.01652892561983471,0.00847457627118644,0.3333333333333333,2.0,234.0,4.0,9760.0,6.0
Sicilian_Defense_McDonnell_Attack,0.01652892561983471,0.008695652173913044,0.16666666666666666,2.0,228.0,10.0,9760.0,12.0
Italian_Game_Scotch_Gambit,0.016304347826086956,0.008287292817679558,0.5,3.0,359.0,3.0,9635.0,6.0
Queens_Gambit_Declined_Marshall_Defense,0.016238159675236806,0.008241758241758242,0.5454545454545454,6.0,722.0,5.0,9267.0,11.0
Nimzo-Indian_Defense,0.01606425702811245,0.008119079837618403,0.75,6.0,733.0,2.0,9259.0,8.0
